"geneID","proteinID","descrip"
"BKA90DRAFT_132305","KAE8175223.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_132306","KAE8175224.1","tyrosine phosphatase family-domain-containing protein"
"BKA90DRAFT_132307","KAE8175225.1","RNB domain-containing protein"
"BKA90DRAFT_132308","KAE8175226.1","peptidyl-tRNA hydrolase PTH2-domain-containing protein"
"BKA90DRAFT_150079","KAE8175227.1","hypothetical protein"
"BKA90DRAFT_155910","KAE8175228.1","glycoside hydrolase"
"BKA90DRAFT_132310","KAE8175229.1","hypothetical protein"
"BKA90DRAFT_171688","KAE8175230.1","phosphatase 2C-like domain-containing protein"
"BKA90DRAFT_155921","KAE8175231.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_132315","KAE8175232.1","hypothetical protein"
"BKA90DRAFT_132316","KAE8175233.1","hypothetical protein"
"BKA90DRAFT_171691","KAE8175234.1","hypothetical protein"
"BKA90DRAFT_132318","KAE8175235.1","kinase-like domain-containing protein"
"BKA90DRAFT_155929","KAE8175236.1","acyl-CoA oxidase 4"
"BKA90DRAFT_132322","KAE8175237.1","DNA-directed RNA polymerase"
"BKA90DRAFT_132324","KAE8175238.1","armadillo-type protein"
"BKA90DRAFT_132325","KAE8175239.1","ATP-dependent RNA helicase DBP2"
"BKA90DRAFT_217","KAE8175240.1","hypothetical protein"
"BKA90DRAFT_132328","KAE8175241.1","hypothetical protein"
"BKA90DRAFT_132329","KAE8175242.1","hypothetical protein"
"BKA90DRAFT_132331","KAE8175243.1","hypothetical protein"
"BKA90DRAFT_132332","KAE8175244.1","RTA1 like protein-domain-containing protein"
"BKA90DRAFT_165639","KAE8175245.1","hypothetical protein"
"BKA90DRAFT_132334","KAE8175246.1","FK506-binding protein 3"
"BKA90DRAFT_132335","KAE8175247.1","60S ribosomal protein L6"
"BKA90DRAFT_132338","KAE8175248.1","permease family-domain-containing protein"
"BKA90DRAFT_132339","KAE8175249.1","ATP-NAD kinase-like domain-containing protein"
"BKA90DRAFT_132343","KAE8175250.1","hypothetical protein"
"BKA90DRAFT_132345","KAE8175251.1","actin interacting protein 3-domain-containing protein"
"BKA90DRAFT_132346","KAE8175252.1","hypothetical protein"
"BKA90DRAFT_132347","KAE8175253.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_132351","KAE8175254.1","hypothetical protein"
"BKA90DRAFT_159633","KAE8175255.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_132354","KAE8175256.1","hypothetical protein"
"BKA90DRAFT_132355","KAE8175257.1","hypothetical protein"
"BKA90DRAFT_132356","KAE8175258.1","class II histone deacetylase complex subunits 2 and 3-domain-containing protein"
"BKA90DRAFT_132357","KAE8175259.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_132359","KAE8175260.1","pyridoxal phosphate-dependent transferase"
"BKA90DRAFT_132361","KAE8175261.1","terpenoid cyclases/protein prenyltransferase alpha-alpha toroid"
"BKA90DRAFT_132363","KAE8175262.1","hypothetical protein"
"BKA90DRAFT_350","KAE8175263.1","hypothetical protein"
"BKA90DRAFT_132366","KAE8175264.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_165656","KAE8175265.1","hypothetical protein"
"BKA90DRAFT_132371","KAE8175266.1","hypothetical protein"
"BKA90DRAFT_171717","KAE8175267.1","hypothetical protein"
"BKA90DRAFT_132374","KAE8175268.1","transmembrane amino acid transporter protein-domain-containing protein"
"BKA90DRAFT_171719","KAE8175269.1","armadillo-type protein"
"BKA90DRAFT_165661","KAE8175270.1","hypothetical protein"
"BKA90DRAFT_132379","KAE8175271.1","NADH-ubiquinone oxidoreductase complex I, 21 kDa subunit-domain-containing protein"
"BKA90DRAFT_132380","KAE8175272.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_132381","KAE8175273.1","tRNA synthetases class I, catalytic domain-containing protein"
"BKA90DRAFT_132382","KAE8175274.1","protein RAI1"
"BKA90DRAFT_132383","KAE8175275.1","Di-sulfide bridge nucleocytoplasmic transport domain-containing protein"
"BKA90DRAFT_132384","KAE8175276.1","hypothetical protein"
"BKA90DRAFT_132386","KAE8175277.1","hypothetical protein"
"BKA90DRAFT_132389","KAE8175278.1","GLUT4 regulating protein TUG-domain-containing protein"
"BKA90DRAFT_132390","KAE8175279.1","HotDog domain-containing protein"
"BKA90DRAFT_132391","KAE8175280.1","tRNA intron endonuclease"
"BKA90DRAFT_132393","KAE8175281.1","hypothetical protein"
"BKA90DRAFT_132395","KAE8175282.1","hypothetical protein"
"BKA90DRAFT_132396","KAE8175283.1","hypothetical protein"
"BKA90DRAFT_132398","KAE8175284.1","hypothetical protein"
"BKA90DRAFT_132400","KAE8175285.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_456","KAE8175286.1","hypothetical protein"
"BKA90DRAFT_132403","KAE8175287.1","trypsin-like cysteine/serine peptidase domain-containing protein"
"BKA90DRAFT_132404","KAE8175288.1","pyridoxal phosphate-dependent transferase"
"BKA90DRAFT_132409","KAE8175289.1","SPX domain-containing protein"
"BKA90DRAFT_132410","KAE8175290.1","hypothetical protein"
"BKA90DRAFT_132411","KAE8175291.1","hypothetical protein"
"BKA90DRAFT_132412","KAE8175292.1","peptidase S8/S53 domain-containing protein"
"BKA90DRAFT_132414","KAE8175293.1","transcriptional Coactivator p15-domain-containing protein"
"BKA90DRAFT_132415","KAE8175294.1","HAD-like domain-containing protein"
"BKA90DRAFT_132417","KAE8175295.1","GRIM-19"
"BKA90DRAFT_132418","KAE8175296.1","Alg9-like mannosyltransferase family-domain-containing protein"
"BKA90DRAFT_132419","KAE8175297.1","Adenylosuccinate synthetase"
"BKA90DRAFT_537","KAE8175298.1","hypothetical protein"
"BKA90DRAFT_132424","KAE8175299.1","ribonucleases P/MRP protein subunit POP1-domain-containing protein"
"BKA90DRAFT_132425","KAE8175300.1","hypothetical protein"
"BKA90DRAFT_132426","KAE8175301.1","polynucleotide kinase 3 phosphatase-domain-containing protein"
"BKA90DRAFT_132428","KAE8175302.1","60S ribosomal protein L9"
"BKA90DRAFT_132430","KAE8175303.1","NUWM protein"
"BKA90DRAFT_132432","KAE8175304.1","hypothetical protein"
"BKA90DRAFT_132433","KAE8175305.1","hypothetical protein"
"BKA90DRAFT_583","KAE8175306.1","hypothetical protein"
"BKA90DRAFT_132436","KAE8175307.1","hypothetical protein"
"BKA90DRAFT_132437","KAE8175308.1","hypothetical protein"
"BKA90DRAFT_132438","KAE8175309.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_155956","KAE8175310.1","hypothetical protein"
"BKA90DRAFT_132441","KAE8175311.1","hypothetical protein"
"BKA90DRAFT_132443","KAE8175312.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_159687","KAE8175313.1","hypothetical protein"
"BKA90DRAFT_626","KAE8175314.1","Sec1-like protein"
"BKA90DRAFT_132447","KAE8175315.1","hypothetical protein"
"BKA90DRAFT_132448","KAE8175316.1","hypothetical protein"
"BKA90DRAFT_91725","KAE8175317.1","PAB-dependent poly(A)-specific ribonuclease subunit PAN2"
"BKA90DRAFT_637","KAE8175318.1","hypothetical protein"
"BKA90DRAFT_132454","KAE8175319.1","UNC-50"
"BKA90DRAFT_132455","KAE8175320.1","hypothetical protein"
"BKA90DRAFT_150154","KAE8175321.1","hypothetical protein"
"BKA90DRAFT_132459","KAE8175322.1","U3 small nucleolar RNA-associated protein 10"
"BKA90DRAFT_132460","KAE8175323.1","ribonuclease H2, subunit B"
"BKA90DRAFT_132461","KAE8175324.1","hypothetical protein"
"BKA90DRAFT_132462","KAE8175325.1","hypothetical protein"
"BKA90DRAFT_106046","KAE8175326.1","ubiquitin-conjugating enzyme"
"BKA90DRAFT_132466","KAE8175327.1","bicarbonate transporter"
"BKA90DRAFT_694","KAE8175328.1","hypothetical protein"
"BKA90DRAFT_132471","KAE8175329.1","hypothetical protein"
"BKA90DRAFT_165718","KAE8175330.1","POT family-domain-containing protein"
"BKA90DRAFT_132473","KAE8175331.1","hypothetical protein"
"BKA90DRAFT_132474","KAE8175332.1","clathrin adaptor complex small chain-domain-containing protein"
"BKA90DRAFT_132475","KAE8175333.1","hypothetical protein"
"BKA90DRAFT_132476","KAE8175334.1","hypothetical protein"
"BKA90DRAFT_132477","KAE8175335.1","hypothetical protein"
"BKA90DRAFT_132478","KAE8175336.1","oxidation resistance protein 1"
"BKA90DRAFT_132480","KAE8175337.1","GTPase Ras2p"
"BKA90DRAFT_132481","KAE8175338.1","armadillo-type protein"
"BKA90DRAFT_106071","KAE8175339.1","beta-lactamase-like protein"
"BKA90DRAFT_132484","KAE8175340.1","GPI-GlcNAc transferase complex, PIG-H component-domain-containing protein"
"BKA90DRAFT_132485","KAE8175341.1","Coproporphyrinogen III oxidase"
"BKA90DRAFT_132488","KAE8175342.1","hypothetical protein"
"BKA90DRAFT_132491","KAE8175343.1","hypothetical protein"
"BKA90DRAFT_106081","KAE8175344.1","protein FYV10"
"BKA90DRAFT_132494","KAE8175345.1","hypothetical protein"
"BKA90DRAFT_132497","KAE8175346.1","glutamate-cysteine ligase-domain-containing protein"
"BKA90DRAFT_132498","KAE8175347.1","peptide methionine sulfoxide reductase MsrA"
"BKA90DRAFT_159721","KAE8175348.1","ubiquitin-conjugating enzyme/RWD-like protein"
"BKA90DRAFT_132500","KAE8175349.1","hypothetical protein"
"BKA90DRAFT_132501","KAE8175350.1","hypothetical protein"
"BKA90DRAFT_132503","KAE8175351.1","MBOAT, membrane-bound O-acyltransferase family-domain-containing protein"
"BKA90DRAFT_106100","KAE8175352.1","putative endonuclease LCL3"
"BKA90DRAFT_132505","KAE8175353.1","hypothetical protein"
"BKA90DRAFT_132506","KAE8175354.1","hypothetical protein"
"BKA90DRAFT_132510","KAE8175355.1","hypothetical protein"
"BKA90DRAFT_132511","KAE8175356.1","JmjC domain-containing histone demethylation protein 1"
"BKA90DRAFT_815","KAE8175357.1","hypothetical protein"
"BKA90DRAFT_132512","KAE8175358.1","Aldehyde/histidinol dehydrogenase"
"BKA90DRAFT_132513","KAE8175359.1","hypothetical protein"
"BKA90DRAFT_132515","KAE8175360.1","hypothetical protein"
"BKA90DRAFT_132517","KAE8175361.1","hypothetical protein"
"BKA90DRAFT_132518","KAE8175362.1","hypothetical protein"
"BKA90DRAFT_132520","KAE8175363.1","U2 small nuclear ribonucleo protein A"
"BKA90DRAFT_132521","KAE8175364.1","biotin-protein ligase"
"BKA90DRAFT_132522","KAE8175365.1","60S ribosomal protein L36"
"BKA90DRAFT_132525","KAE8175366.1","coiled-coil-helix-coiled-coil-helix domain-containing protein"
"BKA90DRAFT_132526","KAE8175367.1","hypothetical protein"
"BKA90DRAFT_132527","KAE8175368.1","protein transport protein SEC31"
"BKA90DRAFT_132528","KAE8175369.1","hypothetical protein"
"BKA90DRAFT_159740","KAE8175370.1","hypothetical protein"
"BKA90DRAFT_132530","KAE8175371.1","hypothetical protein"
"BKA90DRAFT_132531","KAE8175372.1","tRNA methyltransferase"
"BKA90DRAFT_132532","KAE8175373.1","hypothetical protein"
"BKA90DRAFT_132534","KAE8175374.1","hypothetical protein"
"BKA90DRAFT_132537","KAE8175375.1","fungal-specific transcription factor domain-containing protein"
"BKA90DRAFT_143976","KAE8175376.1","hypothetical protein"
"BKA90DRAFT_132543","KAE8175377.1","hypothetical protein"
"BKA90DRAFT_91832","KAE8175378.1","mitochondrial protein from FMP27-domain-containing protein"
"BKA90DRAFT_132547","KAE8175379.1","hypothetical protein"
"BKA90DRAFT_132549","KAE8175380.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_132550","KAE8175381.1","UV radiation resistance protein and autophagy-related subunit 14-domain-containing protein"
"BKA90DRAFT_132551","KAE8175382.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_132553","KAE8175383.1","acetyl-CoA deacylase"
"BKA90DRAFT_132554","KAE8175384.1","hypothetical protein"
"BKA90DRAFT_132555","KAE8175385.1","uridine kinase family-domain-containing protein"
"BKA90DRAFT_165768","KAE8175386.1","hypothetical protein"
"BKA90DRAFT_132558","KAE8175387.1","SPX domain-containing protein"
"BKA90DRAFT_159757","KAE8175388.1","glycosyltransferase family 20-domain-containing protein"
"BKA90DRAFT_171808","KAE8175389.1","hypothetical protein"
"BKA90DRAFT_132561","KAE8175390.1","hypothetical protein"
"BKA90DRAFT_999","KAE8175391.1","hypothetical protein"
"BKA90DRAFT_998","KAE8175392.1","hypothetical protein"
"BKA90DRAFT_106165","KAE8175393.1","hypothetical protein"
"BKA90DRAFT_132566","KAE8175394.1","hypothetical protein"
"BKA90DRAFT_132567","KAE8175395.1","hypothetical protein"
"BKA90DRAFT_132568","KAE8175396.1","hypothetical protein"
"BKA90DRAFT_1013","KAE8175397.1","hypothetical protein"
"BKA90DRAFT_132571","KAE8175398.1","hypothetical protein"
"BKA90DRAFT_159767","KAE8175399.1","hypothetical protein"
"BKA90DRAFT_132573","KAE8175400.1","mitochondrial 37S ribosomal protein MRPS8"
"BKA90DRAFT_132574","KAE8175401.1","hypothetical protein"
"BKA90DRAFT_132575","KAE8175402.1","kinase-like domain-containing protein"
"BKA90DRAFT_1038","KAE8175403.1","hypothetical protein"
"BKA90DRAFT_132580","KAE8175404.1","hypothetical protein"
"BKA90DRAFT_91879","KAE8175405.1","ATP-dependent RNA helicase DBP5"
"BKA90DRAFT_132583","KAE8175406.1","hypothetical protein"
"BKA90DRAFT_91884","KAE8175407.1","RuvB-like helicase 2"
"BKA90DRAFT_132587","KAE8175408.1","hypothetical protein"
"BKA90DRAFT_132589","KAE8175409.1","hypothetical protein"
"BKA90DRAFT_132590","KAE8175410.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_132595","KAE8175411.1","hypothetical protein"
"BKA90DRAFT_91892","KAE8175412.1","hypothetical protein"
"BKA90DRAFT_132606","KAE8175413.1","hypothetical protein"
"BKA90DRAFT_132608","KAE8175414.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_132610","KAE8175415.1","hypothetical protein"
"BKA90DRAFT_132612","KAE8175416.1","phosphoesterase family-domain-containing protein"
"BKA90DRAFT_91903","KAE8175417.1","Nrap protein"
"BKA90DRAFT_132617","KAE8175418.1","PITH domain-containing protein"
"BKA90DRAFT_171825","KAE8175419.1","hypothetical protein"
"BKA90DRAFT_132621","KAE8175420.1","domain found in IF2B/IF5-domain-containing protein"
"BKA90DRAFT_159787","KAE8175421.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_132624","KAE8175422.1","hypothetical protein"
"BKA90DRAFT_159789","KAE8175423.1","hypothetical protein"
"BKA90DRAFT_132629","KAE8175424.1","NADH-ubiquinone oxidoreductase B18 subunit-domain-containing protein"
"BKA90DRAFT_132633","KAE8175425.1","hypothetical protein"
"BKA90DRAFT_132634","KAE8175426.1","hypothetical protein"
"BKA90DRAFT_132635","KAE8175427.1","hypothetical protein"
"BKA90DRAFT_132638","KAE8175428.1","hypothetical protein"
"BKA90DRAFT_132639","KAE8175429.1","hypothetical protein"
"BKA90DRAFT_171830","KAE8175430.1","alpha-1,3/1,6-mannosyltransferase ALG2"
"BKA90DRAFT_132641","KAE8175431.1","SCA7, zinc-binding domain-containing protein"
"BKA90DRAFT_132645","KAE8175432.1","hypothetical protein"
"BKA90DRAFT_132647","KAE8175433.1","putative kinetochore protein NUF2"
"BKA90DRAFT_77182","KAE8175434.1","beta-lactamase/transpeptidase-like protein"
"BKA90DRAFT_132650","KAE8175435.1","60S ribosomal protein L1"
"BKA90DRAFT_132653","KAE8175436.1","FtsJ-like methyltransferase-domain-containing protein"
"BKA90DRAFT_132655","KAE8175437.1","60S ribosomal protein L33"
"BKA90DRAFT_159800","KAE8175438.1","hypothetical protein"
"BKA90DRAFT_132658","KAE8175439.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_132659","KAE8175440.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_132661","KAE8175441.1","ERG2/sigma1 receptor-like protein"
"BKA90DRAFT_106245","KAE8175442.1","hypothetical protein"
"BKA90DRAFT_1334","KAE8175443.1","hypothetical protein"
"BKA90DRAFT_132664","KAE8175444.1","protein OS-9"
"BKA90DRAFT_132665","KAE8175445.1","phosphatidylethanolamine-binding protein"
"BKA90DRAFT_132666","KAE8175446.1","ATP synthase E chain-domain-containing protein"
"BKA90DRAFT_132667","KAE8175447.1","hypothetical protein"
"BKA90DRAFT_132669","KAE8175448.1","hypothetical protein"
"BKA90DRAFT_91950","KAE8175449.1","60S ribosomal protein L22"
"BKA90DRAFT_132671","KAE8175450.1","hypothetical protein"
"BKA90DRAFT_1396","KAE8175451.1","hypothetical protein"
"BKA90DRAFT_132674","KAE8175452.1","hypothetical protein"
"BKA90DRAFT_132675","KAE8175453.1","hypothetical protein"
"BKA90DRAFT_132676","KAE8175454.1","Bromodomain-containing protein"
"BKA90DRAFT_1407","KAE8175455.1","hypothetical protein"
"BKA90DRAFT_159817","KAE8175456.1","phosphoribosyltransferase-like protein"
"BKA90DRAFT_132681","KAE8175457.1","mediator of RNA polymerase II transcription subunit 6"
"BKA90DRAFT_1432","KAE8175458.1","hypothetical protein"
"BKA90DRAFT_165832","KAE8175459.1","bHLH transcription factor Yas2p"
"BKA90DRAFT_132685","KAE8175460.1","hypothetical protein"
"BKA90DRAFT_165834","KAE8175461.1","hypothetical protein"
"BKA90DRAFT_132689","KAE8175462.1","hypothetical protein"
"BKA90DRAFT_132690","KAE8175463.1","hypothetical protein"
"BKA90DRAFT_132692","KAE8175464.1","nucleophile aminohydrolase"
"BKA90DRAFT_171858","KAE8175465.1","cAMP phosphodiesterases class-II-domain-containing protein"
"BKA90DRAFT_132695","KAE8175466.1","hypothetical protein"
"BKA90DRAFT_132696","KAE8175467.1","nuclear distribution protein nude 1"
"BKA90DRAFT_132697","KAE8175468.1","hypothetical protein"
"BKA90DRAFT_132699","KAE8175469.1","regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II"
"BKA90DRAFT_132702","KAE8175470.1","hypothetical protein"
"BKA90DRAFT_132703","KAE8175471.1","kinetochore Sim4 complex subunit Fta4"
"BKA90DRAFT_132704","KAE8175472.1","phosphotyrosine protein phosphatase I superfamily"
"BKA90DRAFT_132705","KAE8175473.1","Sls1 protein"
"BKA90DRAFT_132706","KAE8175474.1","hypothetical protein"
"BKA90DRAFT_132709","KAE8175475.1","HIT-like domain-containing protein"
"BKA90DRAFT_132712","KAE8175476.1","protein FYV4, mitochondrial"
"BKA90DRAFT_1561","KAE8175477.1","diacylglycerol acyltransferase-domain-containing protein"
"BKA90DRAFT_132718","KAE8175478.1","ABC1 family-domain-containing protein"
"BKA90DRAFT_165851","KAE8175479.1","acyl-coenzyme a oxidase 1"
"BKA90DRAFT_92013","KAE8175480.1","dynein heavy chain, N-terminal region 1-domain-containing protein"
"BKA90DRAFT_132724","KAE8175481.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_132726","KAE8175482.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_132727","KAE8175483.1","hypothetical protein"
"BKA90DRAFT_132729","KAE8175484.1","hypothetical protein"
"BKA90DRAFT_132730","KAE8175485.1","hypothetical protein"
"BKA90DRAFT_132731","KAE8175486.1","hypothetical protein"
"BKA90DRAFT_132733","KAE8175487.1","hypothetical protein"
"BKA90DRAFT_132734","KAE8175488.1","hypothetical protein"
"BKA90DRAFT_132735","KAE8175489.1","SacI homology domain-containing protein"
"BKA90DRAFT_132736","KAE8175490.1","hypothetical protein"
"BKA90DRAFT_132737","KAE8175491.1","Spermidine/spermine synthase"
"BKA90DRAFT_132739","KAE8175492.1","t-SNARE"
"BKA90DRAFT_1628","KAE8175493.1","hypothetical protein"
"BKA90DRAFT_132742","KAE8175494.1","leucine carboxyl methyltransferase 2"
"BKA90DRAFT_132743","KAE8175495.1","RNA polymerase II-binding domain-containing protein"
"BKA90DRAFT_132744","KAE8175496.1","clathrin light chain"
"BKA90DRAFT_132746","KAE8175497.1","UDP-N-acetylglucosamine transferase subunit ALG13"
"BKA90DRAFT_132747","KAE8175498.1","RmlC-like cupin domain-containing protein"
"BKA90DRAFT_132749","KAE8175499.1","hypothetical protein"
"BKA90DRAFT_132751","KAE8175500.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_156013","KAE8175501.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_106365","KAE8175010.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_132754","KAE8175011.1","maintenance of telomere capping protein 6"
"BKA90DRAFT_13468","KAE8175012.1","Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase"
"BKA90DRAFT_132755","KAE8175013.1","ERG2/sigma1 receptor-like protein"
"BKA90DRAFT_132756","KAE8175014.1","hypothetical protein"
"BKA90DRAFT_13477","KAE8175015.1","hypothetical protein"
"BKA90DRAFT_157006","KAE8175016.1","general substrate transporter"
"BKA90DRAFT_132759","KAE8175017.1","hypothetical protein"
"BKA90DRAFT_165879","KAE8175018.1","hypothetical protein"
"BKA90DRAFT_132762","KAE8175019.1","nucleotide-diphospho-sugar transferase"
"BKA90DRAFT_132767","KAE8175020.1","Dfp1/Him1, central region-domain-containing protein"
"BKA90DRAFT_77655","KAE8175021.1","ras family-domain-containing protein"
"BKA90DRAFT_132769","KAE8175022.1","hypothetical protein"
"BKA90DRAFT_132771","KAE8175023.1","biogenesis of lysosome-related organelles complex-1, subunit 2"
"BKA90DRAFT_92085","KAE8175024.1","replication factor RFC1 C terminal domain-containing protein"
"BKA90DRAFT_132773","KAE8175025.1","ATP-dependent RNA helicase DRS1"
"BKA90DRAFT_132774","KAE8175026.1","hypothetical protein"
"BKA90DRAFT_157017","KAE8175027.1","hypothetical protein"
"BKA90DRAFT_77545","KAE8175028.1","Vps54-like protein-domain-containing protein"
"BKA90DRAFT_13571","KAE8175029.1","hypothetical protein"
"BKA90DRAFT_132779","KAE8175030.1","ESCRT-II complex subunit-domain-containing protein"
"BKA90DRAFT_13577","KAE8175031.1","centromere protein H (CENP-H)-domain-containing protein"
"BKA90DRAFT_13576","KAE8175032.1","Manganese/iron superoxide dismutase"
"BKA90DRAFT_132781","KAE8175033.1","Scramblase-domain-containing protein"
"BKA90DRAFT_132782","KAE8175034.1","ubiquitin carboxyl-terminal hydrolase"
"BKA90DRAFT_132783","KAE8175035.1","hypothetical protein"
"BKA90DRAFT_132784","KAE8175036.1","ribosome biogenesis protein NSA1"
"BKA90DRAFT_132785","KAE8175037.1","hypothetical protein"
"BKA90DRAFT_132787","KAE8175038.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_132788","KAE8175039.1","glycosyl transferase family 4-domain-containing protein"
"BKA90DRAFT_171911","KAE8175040.1","HD domain-containing protein"
"BKA90DRAFT_132791","KAE8175041.1","MCM2/3/5 family-domain-containing protein"
"BKA90DRAFT_132792","KAE8175042.1","amino acid permease/ SLC12A domain-containing protein"
"BKA90DRAFT_132795","KAE8175043.1","peptidase S8/S53 domain-containing protein"
"BKA90DRAFT_132796","KAE8175044.1","Abscisic acid G-protein coupled receptor-domain-containing protein"
"BKA90DRAFT_132797","KAE8175045.1","hypothetical protein"
"BKA90DRAFT_13631","KAE8175046.1","hypothetical protein"
"BKA90DRAFT_159896","KAE8175047.1","Oligosaccharyl transferase STT3 subunit-domain-containing protein"
"BKA90DRAFT_106437","KAE8175048.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_132802","KAE8175049.1","mitochondrial amino-acid acetyltransferase"
"BKA90DRAFT_171920","KAE8175050.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_132805","KAE8175051.1","chitin synthase-domain-containing protein"
"BKA90DRAFT_132806","KAE8175052.1","hypothetical protein"
"BKA90DRAFT_132808","KAE8175053.1","hypothetical protein"
"BKA90DRAFT_132809","KAE8175054.1","hypothetical protein"
"BKA90DRAFT_106454","KAE8175055.1","Endopolyphosphatase"
"BKA90DRAFT_132812","KAE8175056.1","tryptophan synthase beta subunit-like PLP-dependent enzyme"
"BKA90DRAFT_132813","KAE8175057.1","hypothetical protein"
"BKA90DRAFT_157024","KAE8175058.1","hypothetical protein"
"BKA90DRAFT_132814","KAE8175059.1","hypothetical protein"
"BKA90DRAFT_132815","KAE8175060.1","hypothetical protein"
"BKA90DRAFT_132816","KAE8175061.1","GMP synthase"
"BKA90DRAFT_132818","KAE8175062.1","4'-phosphopantetheinyl transferase superfamily"
"BKA90DRAFT_13694","KAE8175063.1","Tricarboxylate/iron carrier"
"BKA90DRAFT_13693","KAE8175064.1","ribosomal protein S5 domain 2-type protein"
"BKA90DRAFT_132820","KAE8175065.1","hypothetical protein"
"BKA90DRAFT_132821","KAE8175066.1","hypothetical protein"
"BKA90DRAFT_157030","KAE8175067.1","hypothetical protein"
"BKA90DRAFT_132824","KAE8175068.1","zinc dependent phospholipase C-domain-containing protein"
"BKA90DRAFT_132825","KAE8175069.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_132826","KAE8175070.1","hypothetical protein"
"BKA90DRAFT_132827","KAE8175071.1","kinase-like domain-containing protein"
"BKA90DRAFT_132828","KAE8175072.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_13724","KAE8175073.1","YL1 nuclear protein-domain-containing protein"
"BKA90DRAFT_132830","KAE8175074.1","activator of Hsp90 ATPase"
"BKA90DRAFT_132832","KAE8175075.1","hypothetical protein"
"BKA90DRAFT_132834","KAE8175076.1","hypothetical protein"
"BKA90DRAFT_132836","KAE8175077.1","chaperonin Cpn60/TCP-1 family"
"BKA90DRAFT_165935","KAE8175078.1","P-loop containing nucleoside triphosphate hydrolase protein"
